artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['GENESIS'],"['March 1', '3002} 82,000']",1160000.0,,65356.0,,,,['Cellar Door Concerts'],[],"['Orange Bowl', 'Miami, Fla, es']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
"['PATTI LABELLE', 'WILLIE TYLER & LESTER:', 'PAUL RODRIGUEZ', 'THE RASPYNI BROTHERS']","['Feb. 10-15, 17-', '22, March 1']",822503.0,,32706.0,,,1.0,['Electric Factory Concerts'],['30/25/22.50'],"['Forrest Theatre', 'Philadelphia, Pa.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
['NEIL DIAMOND'],"['Feb, 24-26']",569360.0,,32839.0,,,,"['American Concerts', '33,189']",['17.50/15'],"['Sun Dome', 'Univ. of South Florida', 'Tampa, Fla.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
"['IRON MAIDEN', 'VINNIE VINCENT INVASION']",['Feb. 16-18'],567366.0,,3556.0,,,,"['Avalon Attractions', '39,690']",['17.50/16'],"['Long Beach Convention &', 'Entertainment Center Arena', 'Long Beach, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
['GENESIS'],['Feb. 25-26'],560368.0,,32021.0,,,1.0,['PACE Concerts'],['17.50'],"['The Omni', 'Atlanta, Ga.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
['BILLY JOEL'],"['Feb. 27-28,', 'March 2']",537232.0,,30699.0,,,1.0,['Fantasma Prods.'],['17.50'],"['Sun Dome', 'Univ. of South Florida', 'Tampa, Fla.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
"['FREDDIE JACKSON', 'RAY, GOODMAN & BROWN', 'NAJEE']",['Feb. 26-27'],375405.0,,17622.0,,,1.0,['Radio City Music Hall Prods.'],['22.50/20'],"['Radio City Music Hall', 'New York, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
"['PAUL YOUNG', 'LUBA']",['Feb. 27'],295080.0,212288.0,9435.0,,,,"['Concert Prods. International', '10,000']",['22.50'],"['Maple Leaf Gardens', 'Toronto, Ontario']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
['DAVID COPPERFIELD.'],['Feb. 20-22'],294920.0,,14945.0,,,,"['Festival Ventures', '15,000 Washington Theatre League']",['22.50'],"['Warner Theatre', 'Washington, D.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
['BILLY JOEL'],['Feb. 13'],267278.0,,16382.0,,,1.0,['Contemporary Prods.'],['17.50'],"['Kemper Arena, American Royal', 'Center', 'West Presentations', 'Kansas City, Mo.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-14.pdf
