artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['GENESIS', 'PAUL YOUNG']",['May 30-31'],2297060.0,,7017.0,,,1.0,['Monarch Entertainment Bureau'],['20'],"['Giants Stadium', 'East Rutherford, N.J.', 'Scher Presents']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['GENESIS', 'PAUL YOUNG']",['May 28-29'],2128335.0,,107212.0,,,1.0,['Electric Factory Concerts'],['20'],"[""Veteran's Stadium"", 'Philadelphia, Pa']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['GENESIS RFK', 'PAUL YOUNG']",['May 26'],983700.0,,49185.0,,,1.0,['Cellar Door Prods.'],['20'],"['Stadium, Starplex', 'Washington, D.C']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['BON JOVI', 'CINDERELLA', 'SMITHEREENS.']",['May 24'],680000.0,,42500.0,,,1.0,"['Belkin Prods,']",['16'],"['Buckeye Lake Music Center', 'Newark, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['BON JOVI', 'CINDERELLA']",['May 30-31'],548363.0,,31335.0,,,1.0,['Jam Prods. Ltd'],['17.50'],"['Rosemont Horizon', 'Rosemont, Il.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['DOOBIE BROTHERS', 'SOUTHERN PACIFIC']",['May 30'],299093.0,,17520.0,,,,"['Avalon Attractions', '19,000 Concerts West']",['17.50'],"['Tacoma Dome', 'Tacoma, Wash.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['BON JOVI', 'CINDERELLA']",['May 18'],281232.0,,18423.0,,,1.0,['Contemporary Prods'],['15.50'],"['The Arena', 'St_Louis, Mo']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['DOOBIE BROTHERS', 'SOUTHERN PACIFIC']",['June 1'],190039.0,,10887.0,,,,"['Avalon Attractions', '15,000 Concerts West']",['25/14'],"['Irvine Meadows Amphitheatre', 'Laguna Hills, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['DEEP PURPLE', 'BAD COMPANY']",['May 30'],179637.0,,12000.0,,,1.0,['Evening Star Prods.'],['16/515'],"['Coliseum, Arizona Veterans', 'Memorial Coliseum & Fairgrounds', 'Phoenix, Ariz']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
['BEACH BOYS'],['May 31'],165215.0,,10013.0,,,1.0,['Mid South Concerts'],['16.50'],"['Mud Island Amphitheatre', 'Memphis, Tenn.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
"['OOOBIE BROTHERS', 'SOUTHERN PACIFIC']",['May 29'],157269.0,,8856.0,,,,"['Avalon Attractions', '9,400 Concerts West']",['18.50'],"['Memorial Coliseum Complex', 'Portland, Ore.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/06/Billboard-1987-06-13.pdf
