,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,231.9,U,97.15,"91,828","2,387,535","8,921,027",26/34,Live Nation Global Touring
1,2,224.0,Take Tha,104.43,"126,175","2,144,977","13,176,471",17/35,William Morris Endeavor Entertainment
2,3,148.8,Bon Jov,94.09,"31,635","1,581,763","2,976,689",50/58,Creative Artists Agency
3,4,104.2,Taylor Swif,70.86,"18,853","1,470,505","1,335,897",78/100,The Messina Group / William Morris Endeavor Ent.
4,5,103.6,Roger Water,110.62,"27,554","936,832","3,047,883",34/65,Sensible Events
5,6,102.7,Elton Joh,119.75,"9,746","857,620","1,167,045",88/110,Howard Rose Agency / Rocket Music
6,7,90.0,Rihann,74.95,"15,395","1,200,800","1,153,846",78/9,William Morris Endeavor Entertainment
7,8,84.6,Kenny Chesne,72.78,"22,788","1,162,210","1,658,597",51/55,Dale Morris & Associates
8,9,83.3,Sad,94.85,"9,245","878,228","876,842",95/104,Live Nation / Marshall Arts
9,10,79.2,Paul McCartne,135.53,"29,219","584,372","3,960,000",20/24,MPL Communications
10,11,68.7,Britney Spear,98.43,"8,724","697,957","858,750",80/82,William Morris Endeavor Entertainment
11,12,67.8,Foo Fighter,73.65,"17,707","920,786","1,304,211",52/55,William Morris Endeavor Entertainment / CAA
12,13,67.6,Justin Biebe,84.12,"19,600","803,613","1,648,780",41/50,Creative Artists Agency
13,14,63.7,Lady Gag,96.77,"17,796","658,446","1,722,078",37/39,William Morris Endeavor Entertainment
14,15,63.5,André Rie,105.29,"8,151","603,207","858,266",74/97,André Rieu Productions
15,16,59.5,Katy Perr,49.28,"11,837","1,207,386","583,333",102/119,Creative Artists Agency
16,17,59.1,Ushe,79.70,"15,774","741,394","1,257,157",47/62,William Morris Endeavor Entertainment
17,18,56.2,Kings Of Leo,79.94,"23,434","703,027","1,873,333",30/34,CAA / Sound And Vision Artist Agency
18,19,53.5,Iron Maide,74.48,"16,325","718,313","1,215,909",44/46,Creative Artists Agency
19,20,53.2,Shakir,84.57,"13,106","629,064","1,108,333",48/51,Creative Artists Agency / Int’l Talent Booking
20,21,52.8,Kylie Minogu,100.06,"10,148","527,683","1,015,385",52/72,Primary Talent International
21,22,49.7,Cirque du Soleil - “Alegria,70.49,"17,197","705,064","1,212,195",41/304,Cirque du Soleil
22,23,48.3,Kanye West / Jay-,121.34,"14,216","398,055","1,725,000",28/35,William Morris Endeavor Ent. / Roc Nation
23,24,45.9,Journe,55.52,"9,961","826,729","553,012",83/83,William Morris Endeavor Ent. / Int’l Talent Booking
