,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
0,1,432.4,Ed Sheera,88.96,"91,707","4,860,482","8,158,469",53/94,Paradigm Talent Agency / CAA
1,2,345.1,Taylor Swif,119.44,"80,247","2,888,892","9,584,751",36/53,Messina Touring Group
2,3,254.1,Jay-Z / Beyonc,117.13,"55,617","2,169,050","6,514,121",39/48,Live Nation
3,4,169.2,Pin,131.59,"28,565","1,285,411","3,758,925",45/88,Marshall Arts
4,5,167.6,Bruno Mar,129.89,"33,088","1,290,438","4,297,767",39/75,WME
5,6,166.0,Eagle,172.13,"21,428","964,245","3,688,308",45/53,Creative Artists Agency
6,7,151.0,Justin Timberlak,126.43,"20,227","1,193,365","2,557,207",59/77,WME
7,8,131.3,Roger Water,90.60,"24,979","1,448,771","2,263,095",58/84,Sensible Events
8,9,126.2,U,136.12,"30,901","927,034","4,206,293",30/59,Live Nation Global Touring
9,10,116.6,The Rolling Stone,155.26,"57,76","750,914","8,968,276",13/14,Concerts West
10,11,114.4,Kenny Chesne,88.15,"32,443","1,297,731","2,860,007",40/42,Dale Morris & Associates
11,12,97.8,Journey / Def Leppar,97.79,"17,246","1,000,272","1,686,460",58/60,CAA / Artist Group International
12,13,88.3,"""Springsteen On Broadway",508.93,"4,231","173,461","2,153,146",41/183,Thrill Hill Productions
13,14,87.3,Foo Fighter,83.48,"26,814","1,045,728","2,238,376",39/43,WME
14,15,84.0,Sam Smit,78.42,"13,909","1,070,957","1,090,707",77/94,WME / Creative Artists Agency
15,16,82.4,Guns N' Rose,106.11,"35,318","776,987","3,747,623",22/24,International Talent Booking
16,17,79.0,Drak,116.46,"35,706","678,410","4,158,145",19/43,WME
17,18,76.4,Helene Fische,84.95,"40,864","899,004","3,471,297",22/49,Semmel Concerts
18,19,75.5,Phil Collin,124.26,"18,959","606,694","2,355,816",32/34,Solo Agency
19,20,74.2,Depeche Mod,85.13,"19,804","871,375","1,685,866",44/50,WME
20,21,73.3,Luke Brya,73.66,"19,893","994,648","1,465,269",50/51,WME
21,22,70.3,Billy Joe,122.80,"24,908","572,875","3,058,549",23/23,Artist Group International
22,23,67.4,Imagine Dragon,59.53,"15,719","1,131,769","935,691",72/77,Paradigm Talent Agency / CODA
23,24,67.3,Metallic,112.35,"18,723","599,136","2,103,576",32/37,Artist Group International / K2 Agency
24,25,65.2,Celine Dio,212.66,"20,439","306,581","4,346,577",15/34,CDA Productions
25,26,61.5,Luis Migue,109.68,"12,192","560,820","1,337,166",46/66,WME
26,27,59.6,Harry Style,78.70,"13,533","757,843","1,065,006",56/60,Creative Artists Agency
27,28,57.1,André Rie,88.50,"10,757","645,408","952,000",60/88,André Rieu Productions
28,29,55.3,Katy Perr,87.30,"15,459","633,837","1,349,61",41/52,Creative Artists Agency
29,30,54.3,Britney Spear,208.38,"13,027","260,531","2,714,444",20/32,Creative Artists Agency
30,31,53.7,Trans-Siberian Orchestr,58.04,"16,234","925,345","942,297",57/94,WME
31,32,52.1,"Cirque du Soleil - ""Totem",82.39,"19,178","632,879","1,580,069",33/289,Cirque du Soleil Entertainment Group
32,33,51.5,Kevin Har,73.32,"11,159","703,020","818,225",63/66,WME
33,34,51.5,Shania Twai,86.35,"12,978","596,972","1,120,595",46/52,Creative Artists Agency
34,35,47.7,Dave Matthews Ban,66.53,"19,365","716,489","1,288,333",37/46,Paradigm Talent Agency
35,36,46.3,Dead & Compan,76.82,"20,801","603,225","1,597,977",29/34,WME
36,37,42.9,The Killer,67.15,"13,026","638,283","874,741",49/53,WME
37,38,42.3,Romeo Santo,93.22,"12,251","453,303","1,142,040",37/44,Johnny Marines Enterprises
38,39,40.7,Shakir,94.10,"17,310","432,761","1,628,859",25/28,Creative Artists Agency
39,40,40.3,"Cirque du Soleil - ""Lúzia",88.30,"13,438","456,875","1,186,511",34/279,Cirque du Soleil Entertainment Group
40,41,39.7,Queen + Adam Lamber,116.94,"13,049","339,281","1,525,990",26/37,Creative Artists Agency
41,42,39.0,Keith Urba,64.17,"10,477","607,650","672,284",58/62,Creative Artists Agency
42,43,38.9,Phis,67.40,"36,101","577,620","2,433,347",16/38,Paradigm Talent Agency
